Comment,Designator,Footprint,LCSC Part Number
"100K","R20,R21,R22,R23,R24,R25,R26,R27","R_0805","C17407"
"100R","R9,R10,R11,R12,R13,R14,R15,R16,R34","R_0805","C17408"
"100nF","C1,C2,C3,C4,C5","C_0603","C14663"
"10K","R19,R28,R29,R35","R_0805","C17414"
"1K","R1,R2,R3,R4,R5,R6,R7,R8,R32,R33","R_0805","C17513"
"1uF","C11,C12","C_0603","C15849"
"22uF","C6,C7,C8,C9,C10","C_1206","C5672"
"4.7K","R17,R18","R_0805","C17673"
"5.1K","R30,R31","R_0603","C25905"
"ADS1115IDGSR","U2","MSOP-10","C37593"
"AMS1117-3.3","U6","SOT-223","C6186"
"AO3400A","Q1","SOT-23","C20917"
"BOOT","SW1","SW_Tactile_6mm","C318884"
"Blue_LED","D12","LED_0805_STATUS","C2286"
"Blue_LED_460nm","D1,D2,D3,D4,D5,D6,D7,D8","LED_0805","C2286"
"CD74HC4051M","U3","SOIC-16W","C139301"
"DC_5525","J2","BarrelJack_SMD","C381116"
"ESP32-S3-WROOM-1-N8","U1","ESP32-S3-WROOM-1","C2913198"
"Green_LED","D11","LED_0805_STATUS","C2297"
"MMBT3904","Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","SOT-23","C20526"
"RESET","SW2","SW_Tactile_6mm","C318884"
"SS34","D9,D10,D14","D_SMA","C8678"
"TC4427ACOA713","U4","SOIC-8","C636886"
"USB-C","J1","USB_C_Receptacle","C168688"
"USBLC6-2SC6","U7","SOT-23-6","C7519"
"VEMD5510C","PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8","VEMD5510C","C2526474"
