Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,ESP32-S3-WROOM-1-N8R8,ESP32-S3-WROOM-1,50,30,0,Top
U2,LM2596S-5.0,TO-263-5,15,18,0,Top
U3,AMS1117-3.3,SOT-223,30,18,0,Top
U4,CH340N,SOP-8,85,40,0,Top
J1,DC_BARREL_2.1x5.5mm,BarrelJack_2.1x5.5mm,10,5,0,Top
D1,SS54,SMA,8,20,90,Top
D2,SMBJ30A,SMB,8,28,90,Top
C1,220uF_35V,CP_Radial_D8.0mm,36,10,0,Top
C2,220uF_10V,CP_Radial_D6.3mm,25,28,0,Top
L1,33uH_CDRH127,L_Wurth_WE-PD_7345,27,11,0,Top
C3,100nF,C_0603,45,17,0,Top
C4,100nF,C_0603,50,17,0,Top
C5,100nF,C_0603,55,17,0,Top
C6,10uF,C_0805,40,17,0,Top
C7,100nF,C_0603,85,46,0,Top
R1,10K,R_0603,42,43,0,Top
R2,10K,R_0603,58,43,0,Top
R3,4.7K,R_0603,44,25,0,Top
R4,4.7K,R_0603,47,25,0,Top
R5,4.7K,R_0603,50,25,0,Top
R6,1K,R_0603,70,65,0,Top
R7,100R,R_0603,42,65,0,Top
R8,100K,R_0603,44,67,0,Top
R9,330R,R_0603,72,15,0,Top
R10,330R,R_0603,76,15,0,Top
R11,330R,R_0603,80,15,0,Top
R12,330R,R_0603,84,15,0,Top
LD1,GREEN_LED,LED_0805,72,11,0,Top
LD2,BLUE_LED,LED_0805,76,11,0,Top
LD3,YELLOW_LED,LED_0805,80,11,0,Top
LD4,RED_LED,LED_0805,84,11,0,Top
Q1,IRLZ44N,TO-220-3_Vertical,50,65,0,Top
D3,SS54,SMA,48,70,0,Top
Q2,IRLZ44N,TO-220-3_Vertical,62,65,0,Top
D4,SS54,SMA,60,70,0,Top
K1,G6K-2F-Y,Relay_DPDT_Omron_G6K,78,65,0,Top
J2,KSD9700_100C_NC,ThermalCutoff_KSD9700,82,55,0,Top
J3,ScrewTerm_SSR_Ctrl,ScrewTerm_2.54mm_2P,93,65,0,Top
J4,ScrewTerm_Fan,ScrewTerm_2.54mm_2P,50,75,0,Top
J5,ScrewTerm_Solenoid,ScrewTerm_2.54mm_2P,62,75,0,Top
J6,JST_SHT40,JST_PH_4P,25,5,0,Top
J7,JST_MHZ19,JST_PH_4P,45,5,0,Top
J8,JST_DS18B20,JST_PH_3P,65,5,0,Top
J9,JST_Window_Heater,JST_PH_2P,82,5,0,Top
J10,USB-C_Receptacle,USB_C_Receptacle_HRO-TYPE-C-31-M-12,95,40,90,Top
J11,TMC2209_Header,PinHeader_1x6_2.54mm,25,72,0,Top
J12,SWD_Header,PinHeader_1x4_2.54mm,88,25,0,Top
R13,5.1K,R_0603,90,45,0,Top
R14,5.1K,R_0603,90,35,0,Top
D5,SS54,SMA,88,30,0,Top
