Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF_35V","CP_Radial_D8.0mm",18.000000,-10.000000,0.000000,top
"C2","220uF_10V","CP_Radial_D6.3mm",22.000000,-22.000000,0.000000,top
"C3","100nF","C_0603",45.000000,-17.000000,0.000000,top
"C4","100nF","C_0603",50.000000,-17.000000,0.000000,top
"C5","100nF","C_0603",55.000000,-17.000000,0.000000,top
"C6","10uF","C_0805",40.000000,-17.000000,0.000000,top
"C7","100nF","C_0603",85.000000,-46.000000,0.000000,top
"D1","SS54","SMA",8.000000,-20.000000,90.000000,top
"D2","SMBJ30A","SMB",8.000000,-28.000000,90.000000,top
"D3","SS54","SMA",48.000000,-70.000000,0.000000,top
"D4","SS54","SMA",60.000000,-70.000000,0.000000,top
"D5","SS54","SMA",88.000000,-30.000000,0.000000,top
"H1","","MountingHole_3.2mm_M3",4.000000,-4.000000,0.000000,top
"H2","","MountingHole_3.2mm_M3",96.000000,-4.000000,0.000000,top
"H3","","MountingHole_3.2mm_M3",4.000000,-76.000000,0.000000,top
"H4","","MountingHole_3.2mm_M3",96.000000,-76.000000,0.000000,top
"J1","DC_BARREL_2.1x5.5mm","BarrelJack_2.1x5.5mm",8.000000,-8.000000,0.000000,top
"J2","KSD9700_100C_NC","ThermalCutoff_KSD9700",82.000000,-55.000000,0.000000,top
"J3","ScrewTerm_SSR_Ctrl","ScrewTerm_2.54mm_2P",93.000000,-65.000000,0.000000,top
"J4","ScrewTerm_Fan","ScrewTerm_2.54mm_2P",50.000000,-75.000000,0.000000,top
"J5","ScrewTerm_Solenoid","ScrewTerm_2.54mm_2P",62.000000,-75.000000,0.000000,top
"J6","JST_SHT40","JST_PH_4P",25.000000,-5.000000,0.000000,top
"J7","JST_MHZ19","JST_PH_4P",45.000000,-5.000000,0.000000,top
"J8","JST_DS18B20","JST_PH_3P",65.000000,-5.000000,0.000000,top
"J9","JST_Window_Heater","JST_PH_2P",82.000000,-5.000000,0.000000,top
"J10","USB-C_Receptacle","USB_C_Receptacle_HRO-TYPE-C-31-M-12",95.000000,-40.000000,90.000000,top
"J11","TMC2209_Header","PinHeader_1x6_2.54mm",25.000000,-72.000000,0.000000,top
"J12","SWD_Header","PinHeader_1x4_2.54mm",88.000000,-25.000000,0.000000,top
"K1","G6K-2F-Y","Relay_DPDT_Omron_G6K",78.000000,-65.000000,0.000000,top
"L1","33uH_CDRH127","L_Wurth_WE-PD_7345",20.000000,-13.000000,0.000000,top
"LD1","GREEN_LED","LED_0805",72.000000,-11.000000,0.000000,top
"LD2","BLUE_LED","LED_0805",76.000000,-11.000000,0.000000,top
"LD3","YELLOW_LED","LED_0805",80.000000,-11.000000,0.000000,top
"LD4","RED_LED","LED_0805",84.000000,-11.000000,0.000000,top
"Q1","IRLZ44N","TO-220-3_Vertical",50.000000,-65.000000,0.000000,top
"Q2","IRLZ44N","TO-220-3_Vertical",62.000000,-65.000000,0.000000,top
"R1","10K","R_0603",42.000000,-21.000000,0.000000,top
"R2","10K","R_0603",58.000000,-21.000000,0.000000,top
"R3","4.7K","R_0603",44.000000,-25.000000,0.000000,top
"R4","4.7K","R_0603",47.000000,-25.000000,0.000000,top
"R5","4.7K","R_0603",50.000000,-25.000000,0.000000,top
"R6","1K","R_0603",70.000000,-65.000000,0.000000,top
"R7","100R","R_0603",42.000000,-65.000000,0.000000,top
"R8","100K","R_0603",44.000000,-67.000000,0.000000,top
"R9","330R","R_0603",72.000000,-15.000000,0.000000,top
"R10","330R","R_0603",76.000000,-15.000000,0.000000,top
"R11","330R","R_0603",80.000000,-15.000000,0.000000,top
"R12","330R","R_0603",84.000000,-15.000000,0.000000,top
"R13","5.1K","R_0603",90.000000,-45.000000,0.000000,top
"R14","5.1K","R_0603",90.000000,-35.000000,0.000000,top
"U1","ESP32-S3-WROOM-1-N8R8","ESP32-S3-WROOM-1",50.000000,-30.000000,0.000000,top
"U2","LM2596S-5.0","TO-263-5",15.000000,-18.000000,0.000000,top
"U3","AMS1117-3.3","SOT-223",30.000000,-18.000000,0.000000,top
"U4","CH340N","SOP-8",85.000000,-40.000000,0.000000,top
