Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U1","ESP32-S3-WROOM-1-N8","ESP32-S3-WROOM-1",20mm,20mm,0,top
"U2","ADS1115IDGSR","MSOP-10",50mm,15mm,0,top
"U3","CD74HC4051M","SOIC-16W",50mm,30mm,0,top
"U4","TC4427ACOA713","SOIC-8",72mm,15mm,0,top
"Q1","AO3400A","SOT-23",85mm,15mm,0,top
"Q2","MMBT3904","SOT-23",12mm,42mm,0,top
"Q3","MMBT3904","SOT-23",21.5mm,42mm,0,top
"Q4","MMBT3904","SOT-23",31mm,42mm,0,top
"Q5","MMBT3904","SOT-23",40.5mm,42mm,0,top
"Q6","MMBT3904","SOT-23",50mm,42mm,0,top
"Q7","MMBT3904","SOT-23",59.5mm,42mm,0,top
"Q8","MMBT3904","SOT-23",69mm,42mm,0,top
"Q9","MMBT3904","SOT-23",78.5mm,42mm,0,top
"D1","Blue_LED_460nm","LED_0805",4mm,61mm,90,top
"D2","Blue_LED_460nm","LED_0805",16mm,61mm,90,top
"D3","Blue_LED_460nm","LED_0805",28mm,61mm,90,top
"D4","Blue_LED_460nm","LED_0805",40mm,61mm,90,top
"D5","Blue_LED_460nm","LED_0805",52mm,61mm,90,top
"D6","Blue_LED_460nm","LED_0805",64mm,61mm,90,top
"D7","Blue_LED_460nm","LED_0805",76mm,61mm,90,top
"D8","Blue_LED_460nm","LED_0805",88mm,61mm,90,top
"PD1","VEMD5510C","VEMD5510C",12mm,61mm,270,top
"PD2","VEMD5510C","VEMD5510C",24mm,61mm,270,top
"PD3","VEMD5510C","VEMD5510C",36mm,61mm,270,top
"PD4","VEMD5510C","VEMD5510C",48mm,61mm,270,top
"PD5","VEMD5510C","VEMD5510C",60mm,61mm,270,top
"PD6","VEMD5510C","VEMD5510C",72mm,61mm,270,top
"PD7","VEMD5510C","VEMD5510C",84mm,61mm,270,top
"PD8","VEMD5510C","VEMD5510C",96mm,61mm,270,top
"R1","1K","R_0805",12mm,38mm,0,top
"R2","1K","R_0805",21.5mm,38mm,0,top
"R3","1K","R_0805",31mm,38mm,0,top
"R4","1K","R_0805",40.5mm,38mm,0,top
"R5","1K","R_0805",50mm,38mm,0,top
"R6","1K","R_0805",59.5mm,38mm,0,top
"R7","1K","R_0805",69mm,38mm,0,top
"R8","1K","R_0805",78.5mm,38mm,0,top
"R9","100R","R_0805",12mm,46mm,0,top
"R10","100R","R_0805",21.5mm,46mm,0,top
"R11","100R","R_0805",31mm,46mm,0,top
"R12","100R","R_0805",40.5mm,46mm,0,top
"R13","100R","R_0805",50mm,46mm,0,top
"R14","100R","R_0805",59.5mm,46mm,0,top
"R15","100R","R_0805",69mm,46mm,0,top
"R16","100R","R_0805",78.5mm,46mm,0,top
"R17","4.7K","R_0805",45mm,10mm,0,top
"R18","4.7K","R_0805",51mm,10mm,0,top
"R19","10K","R_0805",55mm,10mm,0,top
"R20","100K","R_0805",12mm,58mm,0,top
"R21","100K","R_0805",24mm,58mm,0,top
"R22","100K","R_0805",36mm,58mm,0,top
"R23","100K","R_0805",48mm,58mm,0,top
"R24","100K","R_0805",60mm,58mm,0,top
"R25","100K","R_0805",72mm,58mm,0,top
"R26","100K","R_0805",84mm,58mm,0,top
"R27","100K","R_0805",96mm,58mm,0,top
"R28","10K","R_0805",3.5mm,15mm,0,top
"R29","10K","R_0805",3.5mm,18mm,0,top
"R30","5.1K","R_0603",11mm,7mm,270,top
"R31","5.1K","R_0603",19mm,5mm,0,top
"R32","1K","R_0805",5mm,35mm,90,top
"R33","1K","R_0805",5mm,40mm,90,top
"C1","100nF","C_0603",25mm,8mm,0,top
"C2","100nF","C_0603",52mm,12mm,0,top
"C3","100nF","C_0603",52mm,27mm,0,top
"C4","100nF","C_0603",74mm,12mm,0,top
"C5","100nF","C_0603",87mm,12mm,0,top
"D9","SS34","D_SMA",90mm,30mm,0,top
"D10","SS34","D_SMA",90mm,16mm,0,top
"D11","Green_LED","LED_0805_STATUS",5mm,44mm,90,top
"D12","Blue_LED","LED_0805_STATUS",5mm,48mm,90,top
"J1","USB-C","USB_C_Receptacle",10mm,5mm,180,top
"J2","DC_5525","BarrelJack_SMD",90mm,8mm,0,top
"U6","AMS1117-3.3","SOT-223",35mm,4mm,0,top
"U7","USBLC6-2SC6","SOT-23-6",17mm,7mm,0,top
"C6","22uF","C_1206",72mm,5mm,0,top
"C7","22uF","C_1206",80.5mm,5mm,0,top
"C8","22uF","C_1206",32mm,5mm,0,top
"C9","22uF","C_1206",40.5mm,5mm,0,top
"C10","22uF","C_1206",93mm,16mm,0,top
"C11","1uF","C_0603",3.5mm,13mm,0,top
"C12","1uF","C_0603",14mm,1.5mm,0,top
"SW1","BOOT","SW_Tactile_6mm",5mm,22mm,0,top
"SW2","RESET","SW_Tactile_6mm",5mm,26mm,0,top
"R34","100R","R_0805",80mm,18mm,0,top
"R35","10K","R_0805",84mm,20mm,0,top
"D14","SS34","D_SMA",75mm,2mm,0,top
