Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,AD5940BCBZ-RL7,LFCSP-32_5x5mm_P0.5mm,40,30,0,Top
U2,ADG731BSUZ,TQFP-48_7x7mm_P0.5mm,20,15,0,Top
U3,ADG731BSUZ,TQFP-48_7x7mm_P0.5mm,20,45,0,Top
U4,MAX31865ATP+,TQFN-20_5x5mm_P0.65mm,60,30,0,Top
R1,4.3K_0.1%_25ppm,R_0603,65,36,0,Top
R2,10K,R_0603,65,26,0,Top
R3,10K,R_0603,45,26,0,Top
C1,100nF,C_0603,38,24,0,Top
C2,100nF,C_0603,42,24,0,Top
C3,100nF,C_0603,38,36,0,Top
C4,10uF,C_0805,42,36,0,Top
C5,1uF,C_0603,46,30,0,Top
C6,100nF,C_0603,16,8,0,Top
C7,10uF,C_0805,24,8,0,Top
C8,100nF,C_0603,16,52,0,Top
C9,10uF,C_0805,24,52,0,Top
C10,100nF,C_0603,58,24,0,Top
C11,100nF,C_0603,62,24,0,Top
C12,10nF,C_0603,62,36,0,Top
C13,100nF,C_0603,66,32,0,Top
FB1,BLM18PG471SN1D,R_0603,70,10,0,Top
FB2,BLM18PG471SN1D,R_0603,70,14,0,Top
J1,Header_2x5_0.1in,PinHeader_2x5_2.54mm,75,30,0,Top
PP1_0,POGO_C1_CH0_IP,PogoPin_MillMax_0906,6,6,0,Top
PP1_1,POGO_C1_CH0_IN,PogoPin_MillMax_0906,6,7.27,0,Top
PP1_2,POGO_C1_CH0_VP,PogoPin_MillMax_0906,6,8.54,0,Top
PP1_3,POGO_C1_CH0_VN,PogoPin_MillMax_0906,6,9.81,0,Top
PP1_4,POGO_C1_CH1_IP,PogoPin_MillMax_0906,6,11.08,0,Top
PP1_5,POGO_C1_CH1_IN,PogoPin_MillMax_0906,6,12.35,0,Top
PP1_6,POGO_C1_CH1_VP,PogoPin_MillMax_0906,6,13.620000000000001,0,Top
PP1_7,POGO_C1_CH1_VN,PogoPin_MillMax_0906,6,14.89,0,Top
PP1_8,POGO_C1_CH2_IP,PogoPin_MillMax_0906,6,16.16,0,Top
PP1_9,POGO_C1_CH2_IN,PogoPin_MillMax_0906,6,17.43,0,Top
PP1_10,POGO_C1_CH2_VP,PogoPin_MillMax_0906,6,18.7,0,Top
PP1_11,POGO_C1_CH2_VN,PogoPin_MillMax_0906,6,19.97,0,Top
PP1_12,POGO_C1_CH3_IP,PogoPin_MillMax_0906,6,21.240000000000002,0,Top
PP1_13,POGO_C1_CH3_IN,PogoPin_MillMax_0906,6,22.51,0,Top
PP1_14,POGO_C1_CH3_VP,PogoPin_MillMax_0906,6,23.78,0,Top
PP1_15,POGO_C1_CH3_VN,PogoPin_MillMax_0906,6,25.05,0,Top
PP1_16,POGO_C1_RTD_FP,PogoPin_MillMax_0906,6,26.32,0,Top
PP1_17,POGO_C1_RTD_FN,PogoPin_MillMax_0906,6,27.59,0,Top
PP1_18,POGO_C1_RTD_SP,PogoPin_MillMax_0906,6,28.86,0,Top
PP1_19,POGO_C1_RTD_SN,PogoPin_MillMax_0906,6,30.13,0,Top
PP2_0,POGO_C2_CH0_IP,PogoPin_MillMax_0906,6,31.4,0,Top
PP2_1,POGO_C2_CH0_IN,PogoPin_MillMax_0906,6,32.67,0,Top
PP2_2,POGO_C2_CH0_VP,PogoPin_MillMax_0906,6,33.94,0,Top
PP2_3,POGO_C2_CH0_VN,PogoPin_MillMax_0906,6,35.21,0,Top
