Reference,Value,LCSC,Footprint,Description
U1,AD5940BCBZ-RL7,C650308,laminarforge:LFCSP-32_5x5mm_P0.5mm,Bioimpedance + electrochem AFE (4-wire Kelvin)
U2,ADG731BSUZ,C579102,laminarforge:TQFP-48_7x7mm_P0.5mm,32:1 analog mux (current/drive path)
U3,ADG731BSUZ,C579102,laminarforge:TQFP-48_7x7mm_P0.5mm,32:1 analog mux (voltage/sense path)
U4,MAX31865ATP+,C118474,laminarforge:TQFN-20_5x5mm_P0.65mm,Pt1000 RTD-to-digital (SPI)
R1,4.3K_0.1%_25ppm,C43676,laminarforge:R_0603,MAX31865 reference resistor
R2,10K,C25804,laminarforge:R_0603,DRDY pull-up
R3,10K,C25804,laminarforge:R_0603,AD5940 INT pull-up
C1,100nF,C14663,laminarforge:C_0603,AVDD1 decoupling
C2,100nF,C14663,laminarforge:C_0603,AVDD2 decoupling
C3,100nF,C14663,laminarforge:C_0603,DVDD decoupling
C4,10uF,C15850,laminarforge:C_0805,AVDD bulk decoupling
C5,1uF,C15849,laminarforge:C_0603,AD5940 VBIAS_CAP
C6,100nF,C14663,laminarforge:C_0603,U2 VDD bypass
C7,10uF,C15850,laminarforge:C_0805,U2 VDD bulk
C8,100nF,C14663,laminarforge:C_0603,U3 VDD bypass
C9,10uF,C15850,laminarforge:C_0805,U3 VDD bulk
C10,100nF,C14663,laminarforge:C_0603,MAX31865 VDD bypass
C11,100nF,C14663,laminarforge:C_0603,MAX31865 DVDD bypass
C12,10nF,C36687,laminarforge:C_0603,REFIN differential cap
C13,100nF,C14663,laminarforge:C_0603,RTDIN differential cap
FB1,BLM18PG471SN1D,C1017,laminarforge:R_0603,AVDD ferrite bead
FB2,BLM18PG471SN1D,C1017,laminarforge:R_0603,DVDD ferrite bead
J1,Header_2x5_0.1in,C124378,laminarforge:PinHeader_2x5_2.54mm,SPI to controller PCB v2
PP1_0,POGO_C1_CH0_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_1,POGO_C1_CH0_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_2,POGO_C1_CH0_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_3,POGO_C1_CH0_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_4,POGO_C1_CH1_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_5,POGO_C1_CH1_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_6,POGO_C1_CH1_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_7,POGO_C1_CH1_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_8,POGO_C1_CH2_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_9,POGO_C1_CH2_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_10,POGO_C1_CH2_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_11,POGO_C1_CH2_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_12,POGO_C1_CH3_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_13,POGO_C1_CH3_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_14,POGO_C1_CH3_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_15,POGO_C1_CH3_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_16,POGO_C1_RTD_FP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_17,POGO_C1_RTD_FN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_18,POGO_C1_RTD_SP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP1_19,POGO_C1_RTD_SN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_0,POGO_C2_CH0_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_1,POGO_C2_CH0_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_2,POGO_C2_CH0_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_3,POGO_C2_CH0_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_4,POGO_C2_CH1_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_5,POGO_C2_CH1_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_6,POGO_C2_CH1_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_7,POGO_C2_CH1_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_8,POGO_C2_CH2_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_9,POGO_C2_CH2_IN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_10,POGO_C2_CH2_VP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_11,POGO_C2_CH2_VN,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
PP2_12,POGO_C2_CH3_IP,,laminarforge:PogoPin_MillMax_0906,Pogo-pin contact (Mill-Max 0906)
